 Common Name       , Scientific Name          , TAC Area                                                , Proposed TAC for 2025 (tonnes) , Proposed TAC Change from 2024 , Explanation                                                                                                                                                                                                                                                                                                               
 Anglerfish        ,Lophiidae," Southern Bay of Biscay and Iberian waters (8c, 9 and 10; EU waters of CECAF 34.1.1) ",5432,17%, The TAC covers two species. The Commission proposes to set the TAC in line with the MSY advice and MSY point value for both species.                                                                                                                                              
 Hake              ,Merluccius merluccius," Southern Bay of Biscay and Iberian waters (8c, 9 and 10; EU waters of CECAF 34.1.1) ",17445, rollover                      , The Commission proposes to roll over the TAC for 2024 and to set it in line with the MSY advice and between the MSY point value and the highest value within the range of MSY.                                                                                                     
 Megrims           ,Lepidorhombus spp.    ," Southern Bay of Biscay and Iberian waters (8c, 9 and 10; EU waters of CECAF 34.1.1) ",4448,23%, The TAC covers two species. The Commission proposes to set the TAC in line with the MSY advice and MSY point value for both species.                                                                                                                                              
 Norway lobster    ,Nephrops norvegicus    ," Southern Bay of Biscay and Cantabrian Sea (8c, functional unit 31)                  ",29,134%, The Commission proposes to set the TAC in line with the MSY advice.                                                                                                                                                                                                               
 Plaice            ,Pleuronectes platessa, Kattegat                                               ,2349, rollover                      , The Commission proposes to set the TAC in line with the MSY advice and below the lowest value within the range of MSY.                                                                                                                                                           
 Common sole       ,Solea solea    , Bay of Biscay (8a and 8b)                               ,2510,0.80%," The Commission proposes to set the TAC in line with the MSY advice and the MSY point value, reduced proportionally to take into account the decrease in biomass.                                                                                                                  "
 Common sole       ,Solea solea         , Skagerrak-Kattegat and western Baltic Sea (3a; EU waters of subdivisions 22-24)    ,200,-39%," Considering the low biomass, the Commission proposes to suspend the targeted fishery and to establish a by-catch TAC for fisheries targeting Norway lobster at the level of recent catches.                                                                                       "
 Horse mackerel    ,Trachurus spp.      , Iberian waters (9)                                      ,173873,5%, The Commission proposes to set the TAC in line with the MSY advice.                                                                                                                                                                                                               
 Seabass           ,Dicentrarchus labrax, Bay of Biscay (8a and 8b)                               , Recreational catches (1 fish/day) , N/A                           ," The Commission proposes to maintain the bag limit for recreational fisheries, and requests France and Spain to ensure when determining their quotas that the sum of commercial and recreational landings and discards do not exceed MSY point value for total removals.          "
 Roundnose grenadier ,Coryphaenoides rupestris, Skagerrak-Kattegat (EU waters of 3) ,0.9,-5%, The Commission proposes to establish a by-catch TAC for fisheries targeting Northern prawn at the level of landings in 2023. 
 Red seabream   ,Pagellus bogaraveo, Azores waters (10) ,399,-35%, The Commission proposes to set the TAC in line with the MSY.