Species,Stock,Zone,TAC 2016,TAC 2017,TAC 2018,TAC 2019,TAC 2020,TAC 2021,Scientific Name
ANCHOA,ANE/08,VIII,29700,29700,29700,29700,28703,29700,Engraulis encrasicolus
ANCHOA,ANE/9/3411,"IX, X, CPACO",3411,7174,5978,5978,,,Engraulis encrasicolus
BROSMIO,USK/567EI,"V, VI, VII",46,46,60,60,60,15,Brosme brosme
GALLOS,LEZ/56-14,"Vb, VI, XII, XIV",592,646,617,657,671,168,Lepidorhombus spp.
GALLOS,LEZ/07,VII,5476,4107,3693,5440,5620,1405,Lepidorhombus spp.
GALLOS,LEZ/8ABDE,"VIIIa, VIIIb, VIIId, VIIIe",997,748,674,943,993,248,Lepidorhombus spp.
RAPE,ANF/56-14,"VI, Vb, XII, XIV",245,294,353,440,307,77,Lophiidae
MERLÁN,WHG/08,VIII,1016,1016,1016,1016,1016,880,Merlangius merlangus
MERLUZA,HKE/571214,"VI, VII, Vb, XII, XIV",18248,19944,18434,23512,18667,4667,Merluccius merluccius
BACALADILLA,WHB/1X14,"I, II, III, IV, V, VI VII,VIIIa, VIIIb, VIIId, VIIIe, XII, XIV",26878,49865,51949,41383,42258,27468,Micromesistius poutassou
MARUCA AZUL,BLI/5B67,"Vb, VI, VII",157,365,347,377,356,89,Molva dypterigia
CIGALA,NEP/5BC6,"VI, Vb",33,33,25,31,32,8,Nephrops norvegicus
SOLLA,PLE/8/3411,"VIII, IX, X, CPACO",66,66,66,66,59,26,Pleuronectes platessa
RAYAS,SRX/67AKXD,"Via, Vib, VIIa-c, VIIe-k",876,920,1058,1111,1111,278,Rajiformes
CABALLA,MAC/2CX14,"VI, VII, VIIIa, VIIIb, VIIId, VIIIe, Vb, II a, XII, XIV",24,28,22,18,25,16,Scomber scombrus
JUREL,JAX/08C,VIIIc,15441,11890,14335,16895,10015,2504,Trachurus spp.
BESUGO,SBR/678,"VI, VII, VIII",128,116,104,94,84,21,Pagellus bogaraveo
SABLE NEGRO,BSF/8910,"VIII, IX, X",12,10,9,9,9,7,Aphanopus carbo