"year","scientificname","total_tons","ESPECIE","STOCK","ZONA_CIEM","TAC.2016","TAC_2017","TAC_2018","TAC_2019","TAC_2020","TAC_2021","ratio_TAC_total"
2003,"brosme brosme",164740,"BROSMIO ","USK/567EI ","V, VI, VII ","46 ","46 ","60 ","60 ","60 ",15,9.10525676824086e-05
2003,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2003,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2003,"merlangius merlangus",494274,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00178038901499978
2003,"molva dypterygia",329522,"MARUCA AZUL"," BLI/5B67 ","Vb, VI, VII ","157 ","365 ","347 ","377 ","356 ",89,0.000270088188345543
2003,"molva dypterygia",329522,"MARUCA AZUL"," BLI/1 2INT ","XII ","426 ","341 ","273 ","218 ","132 ",33,0.000100145058600033
2003,"molva molva",164760,"MARUCA"," LIN/6X14 ","VI, VII, VIII, IX, X, XII, XIV ","2837 ","3774 ","3498 ","3361 ","3361 ",840,0.00509832483612527
2003,"nephrops norvegicus",97317,"Cigala"," NEP/5BC6 ","VI, Vb ","33 ","33 ","25 ","31 ","32 ",8,8.22055755931646e-05
2003,"nephrops norvegicus",97317,"Cigala","NEP/07 ","VII ","1401 ","1521 ","1745 ","1187 ","1009 ",252,0.00258947563118469
2003,"nephrops norvegicus",97317,"Cigala","NEP/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","234 ","250 ","217 ","233 ","233 ",239,0.00245589157084579
2003,"nephrops norvegicus",97317,"Cigala","NEP/08C ","VIIIc ","46 ","0 ","0 ","2 ","2.6",2.4,2.46616726779494e-05
2003,"nephrops norvegicus",97317,"Cigala","NEP/9/3411 ","IX, X, CPACO 3411 ","80 ","84 ","95 ","100 ","97 ",94,0.000965915513219684
2003,"pleuronectes platessa",1037412,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,2.50623667356846e-05
2003,"raja microocellata",160882,"RAYA DE OJOS ","RJE/7FG ","vIIf, VIIg ",NA,NA,"17 ","21 ","21 ",5,3.10786787832076e-05
2003,"raja undulata",160900,"RAYA MOSAICO ","RJU/7DE ","VIId,VIIe ","11 ","18 ","18 ","23 ","23 ",6,3.72902423865755e-05
2003,"raja undulata",160900,"RAYA MOSAICO "," RJU/8C ","VIII ","8 ","9 ","9 ","10 ","10 ",3,1.86451211932878e-05
2003,"raja undulata",160900,"RAYA MOSAICO "," RJU/9C ","IX ","12 ","15 ","15 ","15 ","15 ",4,2.48601615910503e-05
2003,"solea solea",1038012,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,7.70703999568406e-06
2003,"solea solea",1038012,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.000248552039860811
2003,"squalus acanthias",160617,"MIELGA O GALLUDO ","DGS/15X14 ","I, V, VI, VII, VIII, XII, XIV ","102 ","129 ","111 ","111 ","99 ",25,0.000155649775553024
2003,"trachurus trachurus",337176,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.00742638859230787
2003,"trachurus trachurus",337176,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.0944136000189812
2004,"brosme brosme",164740,"BROSMIO ","USK/567EI ","V, VI, VII ","46 ","46 ","60 ","60 ","60 ",15,9.10525676824086e-05
2004,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2004,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2004,"merlangius merlangus",494274,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00178038901499978
2004,"molva dypterygia",329522,"MARUCA AZUL"," BLI/5B67 ","Vb, VI, VII ","157 ","365 ","347 ","377 ","356 ",89,0.000270088188345543
2004,"molva dypterygia",329522,"MARUCA AZUL"," BLI/1 2INT ","XII ","426 ","341 ","273 ","218 ","132 ",33,0.000100145058600033
2004,"molva molva",164760,"MARUCA"," LIN/6X14 ","VI, VII, VIII, IX, X, XII, XIV ","2837 ","3774 ","3498 ","3361 ","3361 ",840,0.00509832483612527
2004,"nephrops norvegicus",97317,"Cigala"," NEP/5BC6 ","VI, Vb ","33 ","33 ","25 ","31 ","32 ",8,8.22055755931646e-05
2004,"nephrops norvegicus",97317,"Cigala","NEP/07 ","VII ","1401 ","1521 ","1745 ","1187 ","1009 ",252,0.00258947563118469
2004,"nephrops norvegicus",97317,"Cigala","NEP/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","234 ","250 ","217 ","233 ","233 ",239,0.00245589157084579
2004,"nephrops norvegicus",97317,"Cigala","NEP/08C ","VIIIc ","46 ","0 ","0 ","2 ","2.6",2.4,2.46616726779494e-05
2004,"nephrops norvegicus",97317,"Cigala","NEP/9/3411 ","IX, X, CPACO 3411 ","80 ","84 ","95 ","100 ","97 ",94,0.000965915513219684
2004,"pleuronectes platessa",1037412,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,2.50623667356846e-05
2004,"raja microocellata",160882,"RAYA DE OJOS ","RJE/7FG ","vIIf, VIIg ",NA,NA,"17 ","21 ","21 ",5,3.10786787832076e-05
2004,"raja undulata",160900,"RAYA MOSAICO ","RJU/7DE ","VIId,VIIe ","11 ","18 ","18 ","23 ","23 ",6,3.72902423865755e-05
2004,"raja undulata",160900,"RAYA MOSAICO "," RJU/8C ","VIII ","8 ","9 ","9 ","10 ","10 ",3,1.86451211932878e-05
2004,"raja undulata",160900,"RAYA MOSAICO "," RJU/9C ","IX ","12 ","15 ","15 ","15 ","15 ",4,2.48601615910503e-05
2004,"solea solea",1038012,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,7.70703999568406e-06
2004,"solea solea",1038012,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.000248552039860811
2004,"squalus acanthias",160617,"MIELGA O GALLUDO ","DGS/15X14 ","I, V, VI, VII, VIII, XII, XIV ","102 ","129 ","111 ","111 ","99 ",25,0.000155649775553024
2004,"trachurus trachurus",337176,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.00742638859230787
2004,"trachurus trachurus",337176,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.0944136000189812
2005,"brosme brosme",164740,"BROSMIO ","USK/567EI ","V, VI, VII ","46 ","46 ","60 ","60 ","60 ",15,9.10525676824086e-05
2005,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2005,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2005,"merlangius merlangus",494274,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00178038901499978
2005,"molva dypterygia",329522,"MARUCA AZUL"," BLI/5B67 ","Vb, VI, VII ","157 ","365 ","347 ","377 ","356 ",89,0.000270088188345543
2005,"molva dypterygia",329522,"MARUCA AZUL"," BLI/1 2INT ","XII ","426 ","341 ","273 ","218 ","132 ",33,0.000100145058600033
2005,"molva molva",164760,"MARUCA"," LIN/6X14 ","VI, VII, VIII, IX, X, XII, XIV ","2837 ","3774 ","3498 ","3361 ","3361 ",840,0.00509832483612527
2005,"nephrops norvegicus",97317,"Cigala"," NEP/5BC6 ","VI, Vb ","33 ","33 ","25 ","31 ","32 ",8,8.22055755931646e-05
2005,"nephrops norvegicus",97317,"Cigala","NEP/07 ","VII ","1401 ","1521 ","1745 ","1187 ","1009 ",252,0.00258947563118469
2005,"nephrops norvegicus",97317,"Cigala","NEP/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","234 ","250 ","217 ","233 ","233 ",239,0.00245589157084579
2005,"nephrops norvegicus",97317,"Cigala","NEP/08C ","VIIIc ","46 ","0 ","0 ","2 ","2.6",2.4,2.46616726779494e-05
2005,"nephrops norvegicus",97317,"Cigala","NEP/9/3411 ","IX, X, CPACO 3411 ","80 ","84 ","95 ","100 ","97 ",94,0.000965915513219684
2005,"pleuronectes platessa",1037412,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,2.50623667356846e-05
2005,"raja microocellata",160882,"RAYA DE OJOS ","RJE/7FG ","vIIf, VIIg ",NA,NA,"17 ","21 ","21 ",5,3.10786787832076e-05
2005,"raja undulata",160900,"RAYA MOSAICO ","RJU/7DE ","VIId,VIIe ","11 ","18 ","18 ","23 ","23 ",6,3.72902423865755e-05
2005,"raja undulata",160900,"RAYA MOSAICO "," RJU/8C ","VIII ","8 ","9 ","9 ","10 ","10 ",3,1.86451211932878e-05
2005,"raja undulata",160900,"RAYA MOSAICO "," RJU/9C ","IX ","12 ","15 ","15 ","15 ","15 ",4,2.48601615910503e-05
2005,"solea solea",1038012,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,7.70703999568406e-06
2005,"solea solea",1038012,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.000248552039860811
2005,"squalus acanthias",160617,"MIELGA O GALLUDO ","DGS/15X14 ","I, V, VI, VII, VIII, XII, XIV ","102 ","129 ","111 ","111 ","99 ",25,0.000155649775553024
2005,"trachurus trachurus",337176,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.00742638859230787
2005,"trachurus trachurus",337176,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.0944136000189812
2006,"brosme brosme",164740,"BROSMIO ","USK/567EI ","V, VI, VII ","46 ","46 ","60 ","60 ","60 ",15,9.10525676824086e-05
2006,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2006,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2006,"merlangius merlangus",494274,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00178038901499978
2006,"molva dypterygia",329522,"MARUCA AZUL"," BLI/5B67 ","Vb, VI, VII ","157 ","365 ","347 ","377 ","356 ",89,0.000270088188345543
2006,"molva dypterygia",329522,"MARUCA AZUL"," BLI/1 2INT ","XII ","426 ","341 ","273 ","218 ","132 ",33,0.000100145058600033
2006,"molva molva",164760,"MARUCA"," LIN/6X14 ","VI, VII, VIII, IX, X, XII, XIV ","2837 ","3774 ","3498 ","3361 ","3361 ",840,0.00509832483612527
2006,"nephrops norvegicus",97317,"Cigala"," NEP/5BC6 ","VI, Vb ","33 ","33 ","25 ","31 ","32 ",8,8.22055755931646e-05
2006,"nephrops norvegicus",97317,"Cigala","NEP/07 ","VII ","1401 ","1521 ","1745 ","1187 ","1009 ",252,0.00258947563118469
2006,"nephrops norvegicus",97317,"Cigala","NEP/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","234 ","250 ","217 ","233 ","233 ",239,0.00245589157084579
2006,"nephrops norvegicus",97317,"Cigala","NEP/08C ","VIIIc ","46 ","0 ","0 ","2 ","2.6",2.4,2.46616726779494e-05
2006,"nephrops norvegicus",97317,"Cigala","NEP/9/3411 ","IX, X, CPACO 3411 ","80 ","84 ","95 ","100 ","97 ",94,0.000965915513219684
2006,"pleuronectes platessa",1037412,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,2.50623667356846e-05
2006,"raja microocellata",160882,"RAYA DE OJOS ","RJE/7FG ","vIIf, VIIg ",NA,NA,"17 ","21 ","21 ",5,3.10786787832076e-05
2006,"raja undulata",160900,"RAYA MOSAICO ","RJU/7DE ","VIId,VIIe ","11 ","18 ","18 ","23 ","23 ",6,3.72902423865755e-05
2006,"raja undulata",160900,"RAYA MOSAICO "," RJU/8C ","VIII ","8 ","9 ","9 ","10 ","10 ",3,1.86451211932878e-05
2006,"raja undulata",160900,"RAYA MOSAICO "," RJU/9C ","IX ","12 ","15 ","15 ","15 ","15 ",4,2.48601615910503e-05
2006,"solea solea",1038012,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,7.70703999568406e-06
2006,"solea solea",1038012,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.000248552039860811
2006,"squalus acanthias",160617,"MIELGA O GALLUDO ","DGS/15X14 ","I, V, VI, VII, VIII, XII, XIV ","102 ","129 ","111 ","111 ","99 ",25,0.000155649775553024
2006,"trachurus trachurus",337176,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.00742638859230787
2006,"trachurus trachurus",337176,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.0944136000189812
2007,"brosme brosme",164740,"BROSMIO ","USK/567EI ","V, VI, VII ","46 ","46 ","60 ","60 ","60 ",15,9.10525676824086e-05
2007,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2007,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2007,"merlangius merlangus",494274,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00178038901499978
2007,"molva dypterygia",329522,"MARUCA AZUL"," BLI/5B67 ","Vb, VI, VII ","157 ","365 ","347 ","377 ","356 ",89,0.000270088188345543
2007,"molva dypterygia",329522,"MARUCA AZUL"," BLI/1 2INT ","XII ","426 ","341 ","273 ","218 ","132 ",33,0.000100145058600033
2007,"molva molva",164760,"MARUCA"," LIN/6X14 ","VI, VII, VIII, IX, X, XII, XIV ","2837 ","3774 ","3498 ","3361 ","3361 ",840,0.00509832483612527
2007,"nephrops norvegicus",97317,"Cigala"," NEP/5BC6 ","VI, Vb ","33 ","33 ","25 ","31 ","32 ",8,8.22055755931646e-05
2007,"nephrops norvegicus",97317,"Cigala","NEP/07 ","VII ","1401 ","1521 ","1745 ","1187 ","1009 ",252,0.00258947563118469
2007,"nephrops norvegicus",97317,"Cigala","NEP/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","234 ","250 ","217 ","233 ","233 ",239,0.00245589157084579
2007,"nephrops norvegicus",97317,"Cigala","NEP/08C ","VIIIc ","46 ","0 ","0 ","2 ","2.6",2.4,2.46616726779494e-05
2007,"nephrops norvegicus",97317,"Cigala","NEP/9/3411 ","IX, X, CPACO 3411 ","80 ","84 ","95 ","100 ","97 ",94,0.000965915513219684
2007,"pleuronectes platessa",1037412,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,2.50623667356846e-05
2007,"raja microocellata",160882,"RAYA DE OJOS ","RJE/7FG ","vIIf, VIIg ",NA,NA,"17 ","21 ","21 ",5,3.10786787832076e-05
2007,"raja undulata",160900,"RAYA MOSAICO ","RJU/7DE ","VIId,VIIe ","11 ","18 ","18 ","23 ","23 ",6,3.72902423865755e-05
2007,"raja undulata",160900,"RAYA MOSAICO "," RJU/8C ","VIII ","8 ","9 ","9 ","10 ","10 ",3,1.86451211932878e-05
2007,"raja undulata",160900,"RAYA MOSAICO "," RJU/9C ","IX ","12 ","15 ","15 ","15 ","15 ",4,2.48601615910503e-05
2007,"solea solea",1038012,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,7.70703999568406e-06
2007,"solea solea",1038012,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.000248552039860811
2007,"squalus acanthias",160617,"MIELGA O GALLUDO ","DGS/15X14 ","I, V, VI, VII, VIII, XII, XIV ","102 ","129 ","111 ","111 ","99 ",25,0.000155649775553024
2007,"trachurus trachurus",337176,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.00742638859230787
2007,"trachurus trachurus",337176,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.0944136000189812
2008,"brosme brosme",164740,"BROSMIO ","USK/567EI ","V, VI, VII ","46 ","46 ","60 ","60 ","60 ",15,9.10525676824086e-05
2008,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2008,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2008,"merlangius merlangus",494274,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00178038901499978
2008,"molva dypterygia",329522,"MARUCA AZUL"," BLI/5B67 ","Vb, VI, VII ","157 ","365 ","347 ","377 ","356 ",89,0.000270088188345543
2008,"molva dypterygia",329522,"MARUCA AZUL"," BLI/1 2INT ","XII ","426 ","341 ","273 ","218 ","132 ",33,0.000100145058600033
2008,"molva molva",164760,"MARUCA"," LIN/6X14 ","VI, VII, VIII, IX, X, XII, XIV ","2837 ","3774 ","3498 ","3361 ","3361 ",840,0.00509832483612527
2008,"nephrops norvegicus",97317,"Cigala"," NEP/5BC6 ","VI, Vb ","33 ","33 ","25 ","31 ","32 ",8,8.22055755931646e-05
2008,"nephrops norvegicus",97317,"Cigala","NEP/07 ","VII ","1401 ","1521 ","1745 ","1187 ","1009 ",252,0.00258947563118469
2008,"nephrops norvegicus",97317,"Cigala","NEP/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","234 ","250 ","217 ","233 ","233 ",239,0.00245589157084579
2008,"nephrops norvegicus",97317,"Cigala","NEP/08C ","VIIIc ","46 ","0 ","0 ","2 ","2.6",2.4,2.46616726779494e-05
2008,"nephrops norvegicus",97317,"Cigala","NEP/9/3411 ","IX, X, CPACO 3411 ","80 ","84 ","95 ","100 ","97 ",94,0.000965915513219684
2008,"pleuronectes platessa",1037412,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,2.50623667356846e-05
2008,"raja microocellata",160882,"RAYA DE OJOS ","RJE/7FG ","vIIf, VIIg ",NA,NA,"17 ","21 ","21 ",5,3.10786787832076e-05
2008,"raja undulata",160900,"RAYA MOSAICO ","RJU/7DE ","VIId,VIIe ","11 ","18 ","18 ","23 ","23 ",6,3.72902423865755e-05
2008,"raja undulata",160900,"RAYA MOSAICO "," RJU/8C ","VIII ","8 ","9 ","9 ","10 ","10 ",3,1.86451211932878e-05
2008,"raja undulata",160900,"RAYA MOSAICO "," RJU/9C ","IX ","12 ","15 ","15 ","15 ","15 ",4,2.48601615910503e-05
2008,"solea solea",1038012,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,7.70703999568406e-06
2008,"solea solea",1038012,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.000248552039860811
2008,"squalus acanthias",160617,"MIELGA O GALLUDO ","DGS/15X14 ","I, V, VI, VII, VIII, XII, XIV ","102 ","129 ","111 ","111 ","99 ",25,0.000155649775553024
2008,"trachurus trachurus",337176,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.00742638859230787
2008,"trachurus trachurus",337176,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.0944136000189812
2009,"brosme brosme",164740,"BROSMIO ","USK/567EI ","V, VI, VII ","46 ","46 ","60 ","60 ","60 ",15,9.10525676824086e-05
2009,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2009,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2009,"merlangius merlangus",494274,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00178038901499978
2009,"molva dypterygia",329522,"MARUCA AZUL"," BLI/5B67 ","Vb, VI, VII ","157 ","365 ","347 ","377 ","356 ",89,0.000270088188345543
2009,"molva dypterygia",329522,"MARUCA AZUL"," BLI/1 2INT ","XII ","426 ","341 ","273 ","218 ","132 ",33,0.000100145058600033
2009,"molva molva",164760,"MARUCA"," LIN/6X14 ","VI, VII, VIII, IX, X, XII, XIV ","2837 ","3774 ","3498 ","3361 ","3361 ",840,0.00509832483612527
2009,"nephrops norvegicus",97317,"Cigala"," NEP/5BC6 ","VI, Vb ","33 ","33 ","25 ","31 ","32 ",8,8.22055755931646e-05
2009,"nephrops norvegicus",97317,"Cigala","NEP/07 ","VII ","1401 ","1521 ","1745 ","1187 ","1009 ",252,0.00258947563118469
2009,"nephrops norvegicus",97317,"Cigala","NEP/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","234 ","250 ","217 ","233 ","233 ",239,0.00245589157084579
2009,"nephrops norvegicus",97317,"Cigala","NEP/08C ","VIIIc ","46 ","0 ","0 ","2 ","2.6",2.4,2.46616726779494e-05
2009,"nephrops norvegicus",97317,"Cigala","NEP/9/3411 ","IX, X, CPACO 3411 ","80 ","84 ","95 ","100 ","97 ",94,0.000965915513219684
2009,"pleuronectes platessa",1037412,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,2.50623667356846e-05
2009,"raja microocellata",321764,"RAYA DE OJOS ","RJE/7FG ","vIIf, VIIg ",NA,NA,"17 ","21 ","21 ",5,1.55393393916038e-05
2009,"raja undulata",160900,"RAYA MOSAICO ","RJU/7DE ","VIId,VIIe ","11 ","18 ","18 ","23 ","23 ",6,3.72902423865755e-05
2009,"raja undulata",160900,"RAYA MOSAICO "," RJU/8C ","VIII ","8 ","9 ","9 ","10 ","10 ",3,1.86451211932878e-05
2009,"raja undulata",160900,"RAYA MOSAICO "," RJU/9C ","IX ","12 ","15 ","15 ","15 ","15 ",4,2.48601615910503e-05
2009,"solea solea",1038012,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,7.70703999568406e-06
2009,"solea solea",1038012,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.000248552039860811
2009,"squalus acanthias",160617,"MIELGA O GALLUDO ","DGS/15X14 ","I, V, VI, VII, VIII, XII, XIV ","102 ","129 ","111 ","111 ","99 ",25,0.000155649775553024
2009,"trachurus trachurus",337176,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.00742638859230787
2009,"trachurus trachurus",337176,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.0944136000189812
2010,"brosme brosme",164740,"BROSMIO ","USK/567EI ","V, VI, VII ","46 ","46 ","60 ","60 ","60 ",15,9.10525676824086e-05
2010,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2010,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2010,"merlangius merlangus",494274,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00178038901499978
2010,"molva dypterygia",329522,"MARUCA AZUL"," BLI/5B67 ","Vb, VI, VII ","157 ","365 ","347 ","377 ","356 ",89,0.000270088188345543
2010,"molva dypterygia",329522,"MARUCA AZUL"," BLI/1 2INT ","XII ","426 ","341 ","273 ","218 ","132 ",33,0.000100145058600033
2010,"molva molva",164760,"MARUCA"," LIN/6X14 ","VI, VII, VIII, IX, X, XII, XIV ","2837 ","3774 ","3498 ","3361 ","3361 ",840,0.00509832483612527
2010,"nephrops norvegicus",97317,"Cigala"," NEP/5BC6 ","VI, Vb ","33 ","33 ","25 ","31 ","32 ",8,8.22055755931646e-05
