"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoT"
"Costa da Morte","Indicador Área","Fóra de Galicia",2011,"2011",100,"100"
"Costa da Morte","Indicador Área","Fóra de Galicia",2017,"2017",209,"209"
"Costa da Morte","Indicador Área","Fóra de Galicia",2018,"2018",171,"171"
"Costa da Morte","Indicador Área","Fóra de Galicia",2019,"2019",182,"182"
"Costa da Morte","Indicador Área","Fóra de Galicia",2020,"2020",97,"97"
"Costa da Morte","Indicador Área","Fóra de Galicia",2021,"2021",174,"174"
"Costa da Morte","Indicador Área","Fóra de Galicia",2022,"2022",248,"248"
"Costa da Morte","Indicador Área","Fóra de Galicia",2023,"2023",274,"274"
"Costa da Morte","Indicador Costa","Todas",2011,"2011",408,"408"
"Costa da Morte","Indicador Costa","Todas",2017,"2017",814,"814"
"Costa da Morte","Indicador Costa","Todas",2018,"2018",648,"648"
"Costa da Morte","Indicador Costa","Todas",2019,"2019",707,"707"
"Costa da Morte","Indicador Costa","Todas",2020,"2020",429,"429"
"Costa da Morte","Indicador Costa","Todas",2021,"2021",745,"745"
"Costa da Morte","Indicador Costa","Todas",2022,"2022",972,"972"
"Costa da Morte","Indicador Costa","Todas",2023,"2023",1040,"1.040"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2011,"2011",276,"276"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2017,"2017",575,"575"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2018,"2018",472,"472"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2019,"2019",501,"501"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2020,"2020",267,"267"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2021,"2021",479,"479"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2022,"2022",685,"685"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2023,"2023",754,"754"
"Costa da Morte","Indicador Poboación (1)","Todas",2011,"2011",0.48,"0,48"
"Costa da Morte","Indicador Poboación (1)","Todas",2017,"2017",1.00,"1,00"
"Costa da Morte","Indicador Poboación (1)","Todas",2018,"2018",0.80,"0,80"
"Costa da Morte","Indicador Poboación (1)","Todas",2019,"2019",0.88,"0,88"
"Costa da Morte","Indicador Poboación (1)","Todas",2020,"2020",0.53,"0,53"
"Costa da Morte","Indicador Poboación (1)","Todas",2021,"2021",0.93,"0,93"
"Costa da Morte","Indicador Poboación (1)","Todas",2022,"2022",1.24,"1,24"
"Costa da Morte","Indicador Poboación (1)","Todas",2023,"2023",1.33,"1,33"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2011,"2011",0.33,"0,33"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2017,"2017",0.71,"0,71"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2018,"2018",0.59,"0,59"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2019,"2019",0.62,"0,62"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2020,"2020",0.33,"0,33"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2021,"2021",0.60,"0,60"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2022,"2022",0.87,"0,87"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2023,"2023",0.96,"0,96"
"Costa da Morte","Indicador Poboación (2)","Todas",2011,"2011",1.76,"1,76"
"Costa da Morte","Indicador Poboación (2)","Todas",2017,"2017",3.66,"3,66"
"Costa da Morte","Indicador Poboación (2)","Todas",2018,"2018",2.93,"2,93"
"Costa da Morte","Indicador Poboación (2)","Todas",2019,"2019",3.21,"3,21"
"Costa da Morte","Indicador Poboación (2)","Todas",2020,"2020",1.95,"1,95"
"Costa da Morte","Indicador Poboación (2)","Todas",2021,"2021",3.40,"3,40"
"Costa da Morte","Indicador Poboación (2)","Todas",2022,"2022",4.53,"4,53"
"Costa da Morte","Indicador Poboación (2)","Todas",2023,"2023",4.85,"4,85"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2011,"2011",1.19,"1,19"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2017,"2017",2.59,"2,59"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2018,"2018",2.14,"2,14"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2019,"2019",2.28,"2,28"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2020,"2020",1.22,"1,22"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2021,"2021",2.18,"2,18"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2022,"2022",3.19,"3,19"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2023,"2023",3.52,"3,52"
"Costa da Morte","Indicador Estacional (1)","Todas",2011,"2011",52.3,"52,3"
"Costa da Morte","Indicador Estacional (1)","Todas",2017,"2017",37.6,"37,6"
"Costa da Morte","Indicador Estacional (1)","Todas",2018,"2018",49.1,"49,1"
"Costa da Morte","Indicador Estacional (1)","Todas",2019,"2019",47.9,"47,9"
"Costa da Morte","Indicador Estacional (1)","Todas",2020,"2020",69.4,"69,4"
"Costa da Morte","Indicador Estacional (1)","Todas",2021,"2021",54.6,"54,6"
"Costa da Morte","Indicador Estacional (1)","Todas",2022,"2022",45.6,"45,6"
"Costa da Morte","Indicador Estacional (1)","Todas",2023,"2023",42.5,"42,5"
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2011,"2011",57.9,"57,9"
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2017,"2017",50.7,"50,7"
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2018,"2018",57.8,"57,8"
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2019,"2019",51.4,"51,4"
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2020,"2020",72.5,"72,5"
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2021,"2021",63.2,"63,2"
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2022,"2022",47.9,"47,9"
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2023,"2023",51.1,"51,1"
"Costa da Morte","Indicador Estacional (2)","Todas",2011,"2011",,"-"
"Costa da Morte","Indicador Estacional (2)","Todas",2017,"2017",-11.1,"-11,1"
"Costa da Morte","Indicador Estacional (2)","Todas",2018,"2018",14.0,"14,0"
"Costa da Morte","Indicador Estacional (2)","Todas",2019,"2019",-0.8,"-0,8"
"Costa da Morte","Indicador Estacional (2)","Todas",2020,"2020",-1.6,"-1,6"
"Costa da Morte","Indicador Estacional (2)","Todas",2021,"2021",-14.8,"-14,8"
"Costa da Morte","Indicador Estacional (2)","Todas",2022,"2022",-9.0,"-9,0"
"Costa da Morte","Indicador Estacional (2)","Todas",2023,"2023",-12.1,"-12,1"
"Costa da Morte","Indicador Estacional (2)","Fóra de Galicia",2011,"2011",,"-"
"Costa da Morte","Indicador Estacional (2)","Fóra de Galicia",2017,"2017",-2.8,"-2,8"
"Costa da Morte","Indicador Estacional (2)","Fóra de Galicia",2018,"2018",6.2,"6,2"
"Costa da Morte","Indicador Estacional (2)","Fóra de Galicia",2019,"2019",37.8,"37,8"
"Costa da Morte","Indicador Estacional (2)","Fóra de Galicia",2020,"2020",-5.6,"-5,6"
"Costa da Morte","Indicador Estacional (2)","Fóra de Galicia",2021,"2021",64.8,"64,8"
"Costa da Morte","Indicador Estacional (2)","Fóra de Galicia",2022,"2022",62.7,"62,7"
"Costa da Morte","Indicador Estacional (2)","Fóra de Galicia",2023,"2023",65.9,"65,9"
"Ferrolterra","Noites","Todas",2011,"2011",362449,"362.449"
"Ferrolterra","Noites","Todas",2017,"2017",389631,"389.631"
"Ferrolterra","Noites","Todas",2018,"2018",400657,"400.657"
"Ferrolterra","Noites","Todas",2019,"2019",394022,"394.022"
"Ferrolterra","Noites","Todas",2020,"2020",230190,"230.190"
"Ferrolterra","Noites","Todas",2021,"2021",392946,"392.946"
"Ferrolterra","Noites","Todas",2022,"2022",473107,"473.107"
"Ferrolterra","Noites","Todas",2023,"2023",472569,"472.569"
"Ferrolterra","Noites","Fóra de Galicia",2011,"2011",228149,"228.149"
"Ferrolterra","Noites","Fóra de Galicia",2017,"2017",274230,"274.230"
"Ferrolterra","Noites","Fóra de Galicia",2018,"2018",273433,"273.433"
"Ferrolterra","Noites","Fóra de Galicia",2019,"2019",266650,"266.650"
"Ferrolterra","Noites","Fóra de Galicia",2020,"2020",122854,"122.854"
"Ferrolterra","Noites","Fóra de Galicia",2021,"2021",237310,"237.310"
"Ferrolterra","Noites","Fóra de Galicia",2022,"2022",331956,"331.956"
"Ferrolterra","Noites","Fóra de Galicia",2023,"2023",292560,"292.560"
"Ferrolterra","Indicador Área","Todas",2011,"2011",449,"449"
"Ferrolterra","Indicador Área","Todas",2017,"2017",483,"483"
"Ferrolterra","Indicador Área","Todas",2018,"2018",497,"497"
"Ferrolterra","Indicador Área","Todas",2019,"2019",488,"488"
"Ferrolterra","Indicador Área","Todas",2020,"2020",285,"285"
"Ferrolterra","Indicador Área","Todas",2021,"2021",487,"487"
"Ferrolterra","Indicador Área","Todas",2022,"2022",586,"586"
"Ferrolterra","Indicador Área","Todas",2023,"2023",586,"586"
"Ferrolterra","Indicador Área","Fóra de Galicia",2011,"2011",283,"283"
"Ferrolterra","Indicador Área","Fóra de Galicia",2017,"2017",340,"340"
"Ferrolterra","Indicador Área","Fóra de Galicia",2018,"2018",339,"339"
"Ferrolterra","Indicador Área","Fóra de Galicia",2019,"2019",330,"330"
"Ferrolterra","Indicador Área","Fóra de Galicia",2020,"2020",152,"152"
"Ferrolterra","Indicador Área","Fóra de Galicia",2021,"2021",294,"294"
"Ferrolterra","Indicador Área","Fóra de Galicia",2022,"2022",411,"411"
"Ferrolterra","Indicador Área","Fóra de Galicia",2023,"2023",363,"363"
"Ferrolterra","Indicador Costa","Todas",2011,"2011",757,"757"
"Ferrolterra","Indicador Costa","Todas",2017,"2017",814,"814"
"Ferrolterra","Indicador Costa","Todas",2018,"2018",837,"837"
"Ferrolterra","Indicador Costa","Todas",2019,"2019",823,"823"
"Ferrolterra","Indicador Costa","Todas",2020,"2020",481,"481"
"Ferrolterra","Indicador Costa","Todas",2021,"2021",821,"821"
"Ferrolterra","Indicador Costa","Todas",2022,"2022",988,"988"
"Ferrolterra","Indicador Costa","Todas",2023,"2023",987,"987"
"Ferrolterra","Indicador Costa","Fóra de Galicia",2011,"2011",477,"477"
"Ferrolterra","Indicador Costa","Fóra de Galicia",2017,"2017",573,"573"
"Ferrolterra","Indicador Costa","Fóra de Galicia",2018,"2018",571,"571"
"Ferrolterra","Indicador Costa","Fóra de Galicia",2019,"2019",557,"557"
"Ferrolterra","Indicador Costa","Fóra de Galicia",2020,"2020",257,"257"
"Ferrolterra","Indicador Costa","Fóra de Galicia",2021,"2021",496,"496"
"Ferrolterra","Indicador Costa","Fóra de Galicia",2022,"2022",693,"693"
"Ferrolterra","Indicador Costa","Fóra de Galicia",2023,"2023",611,"611"
"Ferrolterra","Indicador Poboación (1)","Todas",2011,"2011",0.56,"0,56"
"Ferrolterra","Indicador Poboación (1)","Todas",2017,"2017",0.63,"0,63"
"Ferrolterra","Indicador Poboación (1)","Todas",2018,"2018",0.65,"0,65"
"Ferrolterra","Indicador Poboación (1)","Todas",2019,"2019",0.64,"0,64"
"Ferrolterra","Indicador Poboación (1)","Todas",2020,"2020",0.38,"0,38"
"Ferrolterra","Indicador Poboación (1)","Todas",2021,"2021",0.65,"0,65"
"Ferrolterra","Indicador Poboación (1)","Todas",2022,"2022",0.77,"0,77"
"Ferrolterra","Indicador Poboación (1)","Todas",2023,"2023",0.77,"0,77"
"Ferrolterra","Indicador Poboación (1)","Fóra de Galicia",2011,"2011",0.35,"0,35"
"Ferrolterra","Indicador Poboación (1)","Fóra de Galicia",2017,"2017",0.44,"0,44"
"Ferrolterra","Indicador Poboación (1)","Fóra de Galicia",2018,"2018",0.44,"0,44"
"Ferrolterra","Indicador Poboación (1)","Fóra de Galicia",2019,"2019",0.44,"0,44"
"Ferrolterra","Indicador Poboación (1)","Fóra de Galicia",2020,"2020",0.20,"0,20"
"Ferrolterra","Indicador Poboación (1)","Fóra de Galicia",2021,"2021",0.39,"0,39"
"Ferrolterra","Indicador Poboación (1)","Fóra de Galicia",2022,"2022",0.54,"0,54"
"Ferrolterra","Indicador Poboación (1)","Fóra de Galicia",2023,"2023",0.48,"0,48"
"Ferrolterra","Indicador Poboación (2)","Todas",2011,"2011",2.03,"2,03"
"Ferrolterra","Indicador Poboación (2)","Todas",2017,"2017",2.29,"2,29"
"Ferrolterra","Indicador Poboación (2)","Todas",2018,"2018",2.37,"2,37"
"Ferrolterra","Indicador Poboación (2)","Todas",2019,"2019",2.35,"2,35"
"Ferrolterra","Indicador Poboación (2)","Todas",2020,"2020",1.38,"1,38"
"Ferrolterra","Indicador Poboación (2)","Todas",2021,"2021",2.37,"2,37"
"Ferrolterra","Indicador Poboación (2)","Todas",2022,"2022",2.83,"2,83"
"Ferrolterra","Indicador Poboación (2)","Todas",2023,"2023",2.82,"2,82"
"Ferrolterra","Indicador Poboación (2)","Fóra de Galicia",2011,"2011",1.28,"1,28"
"Ferrolterra","Indicador Poboación (2)","Fóra de Galicia",2017,"2017",1.61,"1,61"
"Ferrolterra","Indicador Poboación (2)","Fóra de Galicia",2018,"2018",1.62,"1,62"
"Ferrolterra","Indicador Poboación (2)","Fóra de Galicia",2019,"2019",1.59,"1,59"
"Ferrolterra","Indicador Poboación (2)","Fóra de Galicia",2020,"2020",0.74,"0,74"
"Ferrolterra","Indicador Poboación (2)","Fóra de Galicia",2021,"2021",1.43,"1,43"
"Ferrolterra","Indicador Poboación (2)","Fóra de Galicia",2022,"2022",1.98,"1,98"
"Ferrolterra","Indicador Poboación (2)","Fóra de Galicia",2023,"2023",1.75,"1,75"
"Ferrolterra","Indicador Estacional (1)","Todas",2011,"2011",43.1,"43,1"
"Ferrolterra","Indicador Estacional (1)","Todas",2017,"2017",38.0,"38,0"
"Ferrolterra","Indicador Estacional (1)","Todas",2018,"2018",45.0,"45,0"
"Ferrolterra","Indicador Estacional (1)","Todas",2019,"2019",44.7,"44,7"
"Ferrolterra","Indicador Estacional (1)","Todas",2020,"2020",60.3,"60,3"
"Ferrolterra","Indicador Estacional (1)","Todas",2021,"2021",54.6,"54,6"
"Ferrolterra","Indicador Estacional (1)","Todas",2022,"2022",45.2,"45,2"
"Ferrolterra","Indicador Estacional (1)","Todas",2023,"2023",37.1,"37,1"
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2011,"2011",43.3,"43,3"
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2017,"2017",45.9,"45,9"
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2018,"2018",48.5,"48,5"
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2019,"2019",41.5,"41,5"
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2020,"2020",51.4,"51,4"
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2021,"2021",57.0,"57,0"
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2022,"2022",43.7,"43,7"
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2023,"2023",44.9,"44,9"
"Ferrolterra","Indicador Estacional (2)","Todas",2011,"2011",,"-"
"Ferrolterra","Indicador Estacional (2)","Todas",2017,"2017",-7.5,"-7,5"
"Ferrolterra","Indicador Estacional (2)","Todas",2018,"2018",11.4,"11,4"
"Ferrolterra","Indicador Estacional (2)","Todas",2019,"2019",0.5,"0,5"
"Ferrolterra","Indicador Estacional (2)","Todas",2020,"2020",-0.7,"-0,7"
"Ferrolterra","Indicador Estacional (2)","Todas",2021,"2021",-5.7,"-5,7"
"Ferrolterra","Indicador Estacional (2)","Todas",2022,"2022",-9.4,"-9,4"
"Ferrolterra","Indicador Estacional (2)","Todas",2023,"2023",-17.5,"-17,5"
"Ferrolterra","Indicador Estacional (2)","Fóra de Galicia",2011,"2011",,"-"
"Ferrolterra","Indicador Estacional (2)","Fóra de Galicia",2017,"2017",2.6,"2,6"
"Ferrolterra","Indicador Estacional (2)","Fóra de Galicia",2018,"2018",4.3,"4,3"
"Ferrolterra","Indicador Estacional (2)","Fóra de Galicia",2019,"2019",30.9,"30,9"
"Ferrolterra","Indicador Estacional (2)","Fóra de Galicia",2020,"2020",-4.1,"-4,1"
"Ferrolterra","Indicador Estacional (2)","Fóra de Galicia",2021,"2021",57.7,"57,7"
"Ferrolterra","Indicador Estacional (2)","Fóra de Galicia",2022,"2022",49.4,"49,4"
"Ferrolterra","Indicador Estacional (2)","Fóra de Galicia",2023,"2023",50.6,"50,6"
"Mariña Lucense","Noites","Todas",2011,"2011",269194,"269.194"
"Mariña Lucense","Noites","Todas",2017,"2017",373683,"373.683"
"Mariña Lucense","Noites","Todas",2018,"2018",378174,"378.174"
"Mariña Lucense","Noites","Todas",2019,"2019",419603,"419.603"
"Mariña Lucense","Noites","Todas",2020,"2020",179809,"179.809"
"Mariña Lucense","Noites","Todas",2021,"2021",368428,"368.428"
"Mariña Lucense","Noites","Todas",2022,"2022",454160,"454.160"
"Mariña Lucense","Noites","Todas",2023,"2023",498357,"498.357"
"Mariña Lucense","Noites","Fóra de Galicia",2011,"2011",189743,"189.743"
"Mariña Lucense","Noites","Fóra de Galicia",2017,"2017",285390,"285.390"
"Mariña Lucense","Noites","Fóra de Galicia",2018,"2018",284847,"284.847"
"Mariña Lucense","Noites","Fóra de Galicia",2019,"2019",310590,"310.590"
"Mariña Lucense","Noites","Fóra de Galicia",2020,"2020",134787,"134.787"
"Mariña Lucense","Noites","Fóra de Galicia",2021,"2021",257145,"257.145"
"Mariña Lucense","Noites","Fóra de Galicia",2022,"2022",327326,"327.326"
"Mariña Lucense","Noites","Fóra de Galicia",2023,"2023",346364,"346.364"
"Mariña Lucense","Indicador Área","Todas",2011,"2011",372,"372"
"Mariña Lucense","Indicador Área","Todas",2017,"2017",516,"516"
"Mariña Lucense","Indicador Área","Todas",2018,"2018",522,"522"
"Mariña Lucense","Indicador Área","Todas",2019,"2019",580,"580"
"Mariña Lucense","Indicador Área","Todas",2020,"2020",248,"248"
"Mariña Lucense","Indicador Área","Todas",2021,"2021",509,"509"
"Mariña Lucense","Indicador Área","Todas",2022,"2022",627,"627"
"Mariña Lucense","Indicador Área","Todas",2023,"2023",688,"688"
"Mariña Lucense","Indicador Área","Fóra de Galicia",2011,"2011",262,"262"
"Mariña Lucense","Indicador Área","Fóra de Galicia",2017,"2017",394,"394"
"Mariña Lucense","Indicador Área","Fóra de Galicia",2018,"2018",394,"394"
"Mariña Lucense","Indicador Área","Fóra de Galicia",2019,"2019",429,"429"
"Mariña Lucense","Indicador Área","Fóra de Galicia",2020,"2020",186,"186"
"Mariña Lucense","Indicador Área","Fóra de Galicia",2021,"2021",355,"355"
"Mariña Lucense","Indicador Área","Fóra de Galicia",2022,"2022",452,"452"
"Mariña Lucense","Indicador Área","Fóra de Galicia",2023,"2023",479,"479"
"Mariña Lucense","Indicador Costa","Todas",2011,"2011",1026,"1.026"
"Mariña Lucense","Indicador Costa","Todas",2017,"2017",1424,"1.424"
"Mariña Lucense","Indicador Costa","Todas",2018,"2018",1441,"1.441"
"Mariña Lucense","Indicador Costa","Todas",2019,"2019",1599,"1.599"
"Mariña Lucense","Indicador Costa","Todas",2020,"2020",685,"685"
"Mariña Lucense","Indicador Costa","Todas",2021,"2021",1404,"1.404"
"Mariña Lucense","Indicador Costa","Todas",2022,"2022",1731,"1.731"
"Mariña Lucense","Indicador Costa","Todas",2023,"2023",1900,"1.900"
"Mariña Lucense","Indicador Costa","Fóra de Galicia",2011,"2011",723,"723"
"Mariña Lucense","Indicador Costa","Fóra de Galicia",2017,"2017",1088,"1.088"
"Mariña Lucense","Indicador Costa","Fóra de Galicia",2018,"2018",1086,"1.086"
"Mariña Lucense","Indicador Costa","Fóra de Galicia",2019,"2019",1184,"1.184"
"Mariña Lucense","Indicador Costa","Fóra de Galicia",2020,"2020",514,"514"
"Mariña Lucense","Indicador Costa","Fóra de Galicia",2021,"2021",980,"980"
"Mariña Lucense","Indicador Costa","Fóra de Galicia",2022,"2022",1248,"1.248"
"Mariña Lucense","Indicador Costa","Fóra de Galicia",2023,"2023",1320,"1.320"
"Mariña Lucense","Indicador Poboación (1)","Todas",2011,"2011",1.24,"1,24"
"Mariña Lucense","Indicador Poboación (1)","Todas",2017,"2017",1.76,"1,76"
"Mariña Lucense","Indicador Poboación (1)","Todas",2018,"2018",1.79,"1,79"
"Mariña Lucense","Indicador Poboación (1)","Todas",2019,"2019",1.99,"1,99"
"Mariña Lucense","Indicador Poboación (1)","Todas",2020,"2020",0.85,"0,85"
"Mariña Lucense","Indicador Poboación (1)","Todas",2021,"2021",1.75,"1,75"
"Mariña Lucense","Indicador Poboación (1)","Todas",2022,"2022",2.14,"2,14"
"Mariña Lucense","Indicador Poboación (1)","Todas",2023,"2023",2.34,"2,34"
"Mariña Lucense","Indicador Poboación (1)","Fóra de Galicia",2011,"2011",0.87,"0,87"
"Mariña Lucense","Indicador Poboación (1)","Fóra de Galicia",2017,"2017",1.34,"1,34"
"Mariña Lucense","Indicador Poboación (1)","Fóra de Galicia",2018,"2018",1.35,"1,35"
"Mariña Lucense","Indicador Poboación (1)","Fóra de Galicia",2019,"2019",1.47,"1,47"
"Mariña Lucense","Indicador Poboación (1)","Fóra de Galicia",2020,"2020",0.64,"0,64"
"Mariña Lucense","Indicador Poboación (1)","Fóra de Galicia",2021,"2021",1.22,"1,22"
"Mariña Lucense","Indicador Poboación (1)","Fóra de Galicia",2022,"2022",1.54,"1,54"
"Mariña Lucense","Indicador Poboación (1)","Fóra de Galicia",2023,"2023",1.63,"1,63"
"Mariña Lucense","Indicador Poboación (2)","Todas",2011,"2011",4.51,"4,51"
"Mariña Lucense","Indicador Poboación (2)","Todas",2017,"2017",6.42,"6,42"
"Mariña Lucense","Indicador Poboación (2)","Todas",2018,"2018",6.52,"6,52"
"Mariña Lucense","Indicador Poboación (2)","Todas",2019,"2019",7.26,"7,26"
"Mariña Lucense","Indicador Poboación (2)","Todas",2020,"2020",3.10,"3,10"
"Mariña Lucense","Indicador Poboación (2)","Todas",2021,"2021",6.37,"6,37"
"Mariña Lucense","Indicador Poboación (2)","Todas",2022,"2022",7.81,"7,81"
