FAOcode_clean,total_weight,total_value,total_catch,scientificname,commonname,status,in_pesca,in_ices,in_ram
hke,495593.8051809997,1949460289.66,101875.85000000002,NA,NA,NA,TRUE,TRUE,FALSE
hom,490258.67483,401911268.24200016,208190.53000000003,NA,NA,NA,TRUE,TRUE,FALSE
whb,316303.84189000004,252419523.20000002,348206.0199999999,NA,NA,NA,TRUE,TRUE,FALSE
mac,214732.97131000005,160897924.094,381920.97000000015,NA,NA,NA,TRUE,TRUE,FALSE
pil,204602.72367,194108115.44800004,283361.09,NA,NA,NA,TRUE,TRUE,FALSE
mas,187998.92576999997,112022584.38000001,NA,NA,NA,NA,TRUE,FALSE,FALSE
lez,138968.26338,588662745.5769995,14858.040000000003,NA,NA,NA,TRUE,TRUE,FALSE
ank,115668.671255,625450745.033,1067.4200000000003,NA,NA,NA,TRUE,TRUE,FALSE
vma,93625.11481,39372483.004999995,222493.03,NA,NA,NA,TRUE,TRUE,FALSE
poa,89399.49033999999,170881739.055,37373,NA,NA,NA,TRUE,TRUE,FALSE
bog,80357.98766,36042089.751,96104.66999999998,NA,NA,NA,TRUE,TRUE,FALSE
coc,58109.619797999985,278461532.48999995,35490.229999999996,NA,NA,NA,TRUE,TRUE,FALSE
tdq,53280.41704,84346707.14600001,2160.0400000000004,NA,NA,NA,TRUE,TRUE,FALSE
coe,51350.503150000004,94431720.817,33098.20999999999,NA,NA,NA,TRUE,TRUE,FALSE
occ,48260.819649999976,287229177.1930002,36371.32,NA,NA,NA,TRUE,TRUE,FALSE
alb,47256.46411,175942046.39000005,69245.37000000001,NA,NA,NA,TRUE,TRUE,FALSE
clj,41123.535058999994,337273125.892,1518.09,NA,NA,NA,TRUE,TRUE,FALSE
bsh,36610.69035999999,53385861.614999995,14124.859999999995,NA,NA,NA,TRUE,TRUE,FALSE
ska,32732.728497999986,60953301.47399996,11728.33,NA,NA,NA,TRUE,TRUE,FALSE
sqi,28612.559240000006,47430159.92900001,37923.54,NA,NA,NA,TRUE,TRUE,FALSE
wit,27746.976150000002,80728635.80000001,14.06,NA,NA,NA,TRUE,TRUE,FALSE
lem,26832.35444,72233950.85000001,7472.549999999999,NA,NA,NA,TRUE,TRUE,FALSE
ane,26773.60363,42924414.16099999,279145.74,NA,NA,NA,TRUE,TRUE,FALSE
bib,24886.14781600002,47429839.21299994,21819.950000000004,NA,NA,NA,TRUE,TRUE,FALSE
mon,24599.507440000005,130398564.08199996,4137,NA,NA,NA,TRUE,TRUE,FALSE
eoi,21781.940609999998,25533498.085,3799.08,NA,NA,NA,TRUE,TRUE,FALSE
cts,19105.160795,261617213.9760001,12150.6,NA,NA,NA,TRUE,TRUE,FALSE
brf,18954.020953999996,66397112.70099998,4946.030000000001,NA,NA,NA,TRUE,TRUE,FALSE
swo,18107.046670000003,113523119.52000001,3824.11,NA,NA,NA,TRUE,TRUE,FALSE
jod,17928.72371999999,100780112.3939999,6347.87,NA,NA,NA,TRUE,TRUE,FALSE
gfb,13832.737700000003,42529998.17499999,2559.8599999999997,NA,NA,NA,TRUE,TRUE,FALSE
urm,12975.485700000001,59195352.92200001,6112.500000000001,NA,NA,NA,TRUE,TRUE,FALSE
lin,12500.892839999999,22993686.740000002,85.15,NA,NA,NA,TRUE,TRUE,FALSE
ctg,11414.378293000005,267575709.69700003,6519.959999999999,NA,NA,NA,TRUE,TRUE,FALSE
ctc,10618.871991,58178616.5009999,20505.76,NA,NA,NA,TRUE,TRUE,FALSE
mzz,9840.751660000004,16654379.219999986,8602.47,NA,NA,NA,TRUE,TRUE,FALSE
vnr,9362.184993,77817325.15199986,3794.1099999999997,NA,NA,NA,TRUE,TRUE,FALSE
nep,9348.69138,122316052.66,1844.77,NA,NA,NA,TRUE,TRUE,FALSE
gux,9094.918840000004,16088538.980000002,7515.250000000001,NA,NA,NA,TRUE,TRUE,FALSE
for,8767.5677,24696983.141000006,1053.3999999999999,NA,NA,NA,TRUE,TRUE,FALSE
swa,8038.711092000006,43720619.71299995,10495.53,NA,NA,NA,TRUE,TRUE,FALSE
pcb,6887.634305999998,193956501.97699994,2811.07,NA,NA,NA,TRUE,TRUE,FALSE
dsx,6566.484829999999,12115140.99199999,1349.1699999999998,NA,NA,NA,TRUE,TRUE,FALSE
pol,6382.226750000002,37037149.248999976,5079.43,NA,NA,NA,TRUE,TRUE,FALSE
slm,6043.4021,2994862.891,7787,NA,NA,NA,TRUE,TRUE,FALSE
syc,5979.72803,3646320.466000001,7327.789999999998,NA,NA,NA,TRUE,TRUE,FALSE
ggd,5977.832835000002,17868932.43399997,48.660000000000004,NA,NA,NA,TRUE,TRUE,FALSE
jaa,5473.511659999999,2842150.4999999995,294.95,NA,NA,NA,TRUE,TRUE,FALSE
sqr,5446.152440000001,34309772.497999996,2749.13,NA,NA,NA,TRUE,TRUE,FALSE
bss,5346.542749999999,69323463.73099987,6024.219999999998,NA,NA,NA,TRUE,TRUE,FALSE
usb,5251.712418,12522012.033000004,2504.19,NA,NA,NA,TRUE,TRUE,FALSE
sba,5244.534743,18220151.85699999,3748.7100000000005,NA,NA,NA,TRUE,TRUE,FALSE
scr,5218.208720000001,54093991.3299999,4992.829999999999,NA,NA,NA,TRUE,TRUE,FALSE
cbr,5031.06785,14964038.64899999,2016.1600000000003,NA,NA,NA,TRUE,TRUE,FALSE
qsc,4770.996379999999,11710874.255,1908.6299999999997,NA,NA,NA,TRUE,TRUE,FALSE
bon,4642.07908,10519358.654000001,9273.990000000002,NA,NA,NA,TRUE,TRUE,FALSE
brb,3899.741355000001,6020367.560000002,6026.299999999999,NA,NA,NA,TRUE,TRUE,FALSE
eqk,3765.79037,40446122.07000001,2549.22,NA,NA,NA,TRUE,TRUE,FALSE
sol,3429.05406,52021090.22099993,2224.4300000000003,NA,NA,NA,TRUE,TRUE,FALSE
wrf,3319.2730800000004,44942319.45999999,497.25,NA,NA,NA,TRUE,TRUE,FALSE
por,3302.05853,12876830.26,355.65999999999997,NA,NA,NA,TRUE,TRUE,FALSE
eqe,3296.24928,31447337.65999999,2339.41,NA,NA,NA,TRUE,TRUE,FALSE
hk0,3131.4619899999993,11884555.963000014,NA,NA,NA,NA,TRUE,FALSE,FALSE
bbs,2914.0331400000005,9017536.530000001,334.84999999999997,NA,NA,NA,TRUE,TRUE,FALSE
blt,2895.5377100000005,3206726.59,1559.07,NA,NA,NA,TRUE,TRUE,FALSE
rjn,2790.40837,6041935.5,468.7200000000001,NA,NA,NA,TRUE,TRUE,FALSE
rjc,2787.709049999999,6000252.774000002,6431.13,NA,NA,NA,TRUE,TRUE,FALSE
sau,2751.867179999999,2132424.675,12920.66,NA,NA,NA,TRUE,TRUE,FALSE
had,2703.3939299999997,3849629.31,8.269999999999998,NA,NA,NA,TRUE,TRUE,FALSE
sbr,2699.29924,36484439.210999995,2273.11,NA,NA,NA,TRUE,TRUE,FALSE
sma,2653.22641,12790262.475,613.33,NA,NA,NA,TRUE,TRUE,FALSE
gag,2354.50867,2639669.765,1905.37,NA,NA,NA,TRUE,TRUE,FALSE
lio,2300.1453500000002,38331214.951,1124.21,NA,NA,NA,TRUE,TRUE,FALSE
sce,2268.5550799999996,9935554.2,1652.48,NA,NA,NA,TRUE,TRUE,FALSE
mur,2250.9603500000003,21768523.284999996,3129.609999999999,NA,NA,NA,TRUE,TRUE,FALSE
rse,2235.4029199999995,11616321.504000008,988.74,NA,NA,NA,TRUE,TRUE,FALSE
lta,2188.1046,3876704.9400000004,1202.8000000000002,NA,NA,NA,TRUE,TRUE,FALSE
bxd,2174.45424,18730027.24,541.0100000000001,NA,NA,NA,TRUE,TRUE,FALSE
udp,2118.39813,1760427.4539999997,1780.18,NA,NA,NA,TRUE,TRUE,FALSE
guy,2077.837580000001,5175578.609000005,590.7600000000001,NA,NA,NA,TRUE,TRUE,FALSE
jdv,2055.1408950000023,19286904.84599998,NA,NA,NA,NA,TRUE,FALSE,FALSE
msm,1977.9916799999999,1801326.3,940.38,NA,NA,NA,TRUE,TRUE,FALSE
hkm,1884.5928,3327201.7,NA,NA,NA,NA,TRUE,FALSE,FALSE
bli,1758.9695000000002,3784014.4099999997,571.07,NA,NA,NA,TRUE,TRUE,FALSE
cpr,1541.3880200000003,45238384.30500001,1263.4299999999998,NA,NA,NA,TRUE,TRUE,FALSE
cod,1529.25679,3611008.54,8.790000000000001,NA,NA,NA,TRUE,TRUE,FALSE
vev,1493.673365,8031356.544000008,731.1799999999998,NA,NA,NA,TRUE,TRUE,FALSE
bet,1421.10364,7782944.340000002,4861.52,NA,NA,NA,TRUE,TRUE,FALSE
san,1420.49689,1101511.1800000002,2369.2199999999993,NA,NA,NA,TRUE,TRUE,FALSE
gar,1415.6345949999998,1661973.7530000005,2087.0899999999997,NA,NA,NA,TRUE,TRUE,FALSE
ulo,1320.5060899999985,6990931.143,1176.44,NA,NA,NA,TRUE,TRUE,FALSE
laz,1293.10469,645638.7100000001,427.78000000000003,NA,NA,NA,TRUE,TRUE,FALSE
tur,1201.0887000000007,21838197.341,772.9499999999998,NA,NA,NA,TRUE,TRUE,FALSE
oyg,1172.4843999999998,1229950.901,570.4399999999999,NA,NA,NA,TRUE,TRUE,FALSE
oyf,1136.149218,4291757.032000001,892.1499999999999,NA,NA,NA,TRUE,TRUE,FALSE
lec,1050.7208,2560009.17,137.34,NA,NA,NA,TRUE,TRUE,FALSE
sqm,1042.96185,2074591.5330000003,2058.04,NA,NA,NA,TRUE,TRUE,FALSE
sos,1010.6340880000001,5842567.237000007,191.10999999999999,NA,NA,NA,TRUE,TRUE,FALSE
skj,1006.5453300000001,2116589.318,1959.0600000000004,NA,NA,NA,TRUE,TRUE,FALSE
sil,1003.4469100000001,1097572.5700000003,1091.27,NA,NA,NA,TRUE,TRUE,FALSE
eqi,987.5523899999998,8461839.216,431.86999999999995,NA,NA,NA,TRUE,TRUE,FALSE
etx,968.37634,3526445.2600000002,124.65,NA,NA,NA,TRUE,TRUE,FALSE
hmm,949.72595,2125407.843,3979.8300000000004,NA,NA,NA,TRUE,TRUE,FALSE
fle,889.4232100000002,2799240.1559999995,262.82,NA,NA,NA,TRUE,TRUE,FALSE
qub,887.6882,4422516.9399999995,1497.9699999999998,NA,NA,NA,TRUE,TRUE,FALSE
ctr,852.9100000000001,3507625.427000002,NA,NA,NA,NA,TRUE,FALSE,FALSE
oil,831.8798499999999,2129722.4,5.3500000000000005,NA,NA,NA,TRUE,TRUE,FALSE
bys,814.1850699999999,4293188.640000001,217.16000000000003,NA,NA,NA,TRUE,TRUE,FALSE
dgs,790.40065,2855571.09,104.38999999999999,NA,NA,NA,TRUE,TRUE,FALSE
mut,764.7490100000001,5998722.841000001,819.3300000000002,NA,NA,NA,TRUE,TRUE,FALSE
jcr,737.93712,1321150.1600000001,524.8,NA,NA,NA,TRUE,TRUE,FALSE
sbg,693.8561,6450496.102,2100.8800000000006,NA,NA,NA,TRUE,TRUE,FALSE
elx,679.4848890000001,9439724.731,NA,NA,NA,NA,TRUE,FALSE,FALSE
dec,634.3593999999998,1772797.7950000002,249.25000000000003,NA,NA,NA,TRUE,TRUE,FALSE
lht,631.6039699999999,1351599.76,748.7900000000001,NA,NA,NA,TRUE,TRUE,FALSE
meg,607.62484,3174690.1199999996,313.69999999999993,NA,NA,NA,TRUE,TRUE,FALSE
mul,603.7480699999999,371217.25,1815.1100000000004,NA,NA,NA,TRUE,TRUE,FALSE
whg,592.36869,971532.5,11.99,NA,NA,NA,TRUE,TRUE,FALSE
swg,574.075835,500121.0900000001,116.51,NA,NA,NA,TRUE,TRUE,FALSE
cou,570.1295299999999,2832007.114000001,44.260000000000005,NA,NA,NA,TRUE,TRUE,FALSE
pok,563.9430099999998,891238.6299999999,1.61,NA,NA,NA,TRUE,TRUE,FALSE
pac,543.902235,1553476.1219999997,2995.6099999999997,NA,NA,NA,TRUE,TRUE,FALSE
bll,540.3936600000003,7336252.936000007,397.64,NA,NA,NA,TRUE,TRUE,FALSE
sfs,535.0879,803679.9399999998,4336.8499999999995,NA,NA,NA,TRUE,TRUE,FALSE
tus,508.09569999999997,2631055.65,0.02,NA,NA,NA,TRUE,TRUE,FALSE
gkl,473.5987999999999,399431.00999999995,14.66,NA,NA,NA,TRUE,TRUE,FALSE
rjm,449.61283000000003,984648.4050000003,605.3200000000002,NA,NA,NA,TRUE,TRUE,FALSE
usi,443.6367899999999,2250973.297,77.15,NA,NA,NA,TRUE,TRUE,FALSE
hlz,426.39198999999996,221128.19999999995,255.71,NA,NA,NA,TRUE,TRUE,FALSE
rae,378.74199,2021132.672,632.94,NA,NA,NA,TRUE,TRUE,FALSE
cre,370.53785,2556180.5239999997,375.4,NA,NA,NA,TRUE,TRUE,FALSE
rpg,363.086975,4499364.823000001,1469.54,NA,NA,NA,TRUE,TRUE,FALSE
klk,360.8984500000001,1476188.566,574.89,NA,NA,NA,TRUE,TRUE,FALSE
ctb,358.16209000000015,1209586.82,700.1100000000001,NA,NA,NA,TRUE,TRUE,FALSE
sho,357.15595,164429.15,762.8499999999999,NA,NA,NA,TRUE,TRUE,FALSE
smd,350.50775,747901.5750000001,474.5300000000001,NA,NA,NA,TRUE,TRUE,FALSE
atp,308.86188,549389.847,102.4,NA,NA,NA,TRUE,TRUE,FALSE
pod,296.94988,496665.837,196.91,NA,NA,NA,TRUE,TRUE,FALSE
mgs,291.39680000000004,263451.36,152.23999999999998,NA,NA,NA,TRUE,TRUE,FALSE
alv,277.03200000000004,657024.12,109.38999999999999,NA,NA,NA,TRUE,TRUE,FALSE
gur,270.66388000000006,281367.77,1593.1100000000001,NA,NA,NA,TRUE,TRUE,FALSE
bsf,268.05717,685380.3400000002,47.29,NA,NA,NA,TRUE,TRUE,FALSE
vna,262.547715,1252525.388,65.02000000000001,NA,NA,NA,TRUE,TRUE,FALSE
frz,261.27637000000004,327094.31200000003,4679.67,NA,NA,NA,TRUE,TRUE,FALSE
oum,253.87749,1605566.3579999995,8.8,NA,NA,NA,TRUE,TRUE,FALSE
epi,231.27779,491295.315,100.16,NA,NA,NA,TRUE,TRUE,FALSE
crg,224.20610000000005,366627.694,220.36999999999998,NA,NA,NA,TRUE,TRUE,FALSE
icc,213.64394,269448.487,NA,NA,NA,NA,TRUE,FALSE,FALSE
hpr,200.80063,511934.24,27.450000000000003,NA,NA,NA,TRUE,TRUE,FALSE
cet,199.2768,1613020.9470000002,3527.0400000000004,NA,NA,NA,TRUE,TRUE,FALSE
dgx,189.6404,192842.83,431.26000000000005,NA,NA,NA,TRUE,TRUE,FALSE
bft,184.19099999999997,1310258.34,14520.370000000003,NA,NA,NA,TRUE,TRUE,FALSE
avx,177.36420999999999,217514.7100000001,NA,NA,NA,NA,TRUE,FALSE,FALSE
rib,175.00822,456521.728,263.66999999999996,NA,NA,NA,TRUE,TRUE,FALSE
vsc,173.32195999999996,1322166.259,392.83000000000004,NA,NA,NA,TRUE,TRUE,FALSE
guu,170.25762,439017.05299999996,265.17999999999995,NA,NA,NA,TRUE,TRUE,FALSE
lau,157.69889999999998,1690016.5299999998,9.850000000000001,NA,NA,NA,TRUE,TRUE,FALSE
lbe,156.07360000000003,4123575.52,262.7,NA,NA,NA,TRUE,TRUE,FALSE
dxl,153.61049999999997,4546107.137,590.0999999999999,NA,NA,NA,TRUE,TRUE,FALSE
now,150.47950000000003,1471536.6909999999,232.09999999999997,NA,NA,NA,TRUE,TRUE,FALSE
ktg,147.22929999999997,677786.879,138.97,NA,NA,NA,TRUE,TRUE,FALSE
srk,137.94704,208828.8,31.72,NA,NA,NA,TRUE,TRUE,FALSE
ctz,136.13418,187124.42200000002,98.31,NA,NA,NA,TRUE,TRUE,FALSE
mlr,120.26265,99738.635,590,NA,NA,NA,TRUE,TRUE,FALSE
rju,119.01217,304387.65900000004,163.35,NA,NA,NA,TRUE,TRUE,FALSE
mgr,107.94493,435771.0309999999,2599.8900000000003,NA,NA,NA,TRUE,TRUE,FALSE
muf,98.58285000000001,107231.771,174.23,NA,NA,NA,TRUE,TRUE,FALSE
swb,90.56829,45849.514,736.2799999999999,NA,NA,NA,TRUE,TRUE,FALSE
rjh,89.2554,279123.18,92.75999999999999,NA,NA,NA,TRUE,TRUE,FALSE
mkg,89.16331299999999,494100.7000000001,78.22,NA,NA,NA,TRUE,TRUE,FALSE
bdl,88.9984,237923.29,53.53,NA,NA,NA,TRUE,TRUE,FALSE
swr,88.587625,73785.671,283.15999999999997,NA,NA,NA,TRUE,TRUE,FALSE
syt,88.07419999999999,63558.06000000001,19.650000000000002,NA,NA,NA,TRUE,TRUE,FALSE
qph,85.12989999999999,11984.349999999999,NA,NA,NA,NA,TRUE,FALSE,FALSE
brd,84.73639999999999,282820.39,NA,NA,NA,NA,TRUE,FALSE,FALSE
gob,83.99013000000001,145497.432,NA,NA,NA,NA,TRUE,FALSE,FALSE
yfc,78.7121,34920.939999999995,9.459999999999999,NA,NA,NA,TRUE,TRUE,FALSE
cux,75.0041,169654.79,319.41999999999996,NA,NA,NA,TRUE,TRUE,FALSE
kcp,70.67000000000002,248448.69,NA,NA,NA,NA,TRUE,FALSE,FALSE
del,70.11725000000001,171326.84499999997,12.130000000000003,NA,NA,NA,TRUE,TRUE,FALSE
trg,68.32025999999998,210383.52000000002,230.5,NA,NA,NA,TRUE,TRUE,FALSE
usk,68.15142,66652.52,20.38,NA,NA,NA,TRUE,TRUE,FALSE
dab,65.24950000000001,107386.5,2.33,NA,NA,NA,TRUE,TRUE,FALSE
lyy,64.226069999999993,37863.786,32.51,NA,NA,NA,TRUE,TRUE,FALSE
ldb,63.57639999999999,254231.13999999998,120.74999999999997,NA,NA,NA,TRUE,TRUE,FALSE
kjt,62.24822999999999,63132.020000000004,NA,NA,NA,NA,TRUE,FALSE,FALSE
lpz,61.11068,142896.62000000005,1.61,NA,NA,NA,TRUE,TRUE,FALSE
iod,56.143499999999996,55907.5,40.089999999999996,NA,NA,NA,TRUE,TRUE,FALSE
krj,55.50964,85993.1,NA,NA,NA,NA,TRUE,FALSE,FALSE
yft,53.87648,202851.37,3.2199999999999998,NA,NA,NA,TRUE,TRUE,FALSE
slo,49.89856000000001,1295403.3150000002,39.53,NA,NA,NA,TRUE,TRUE,FALSE
rjf,48.44085,139297.46,0.55,NA,NA,NA,TRUE,TRUE,FALSE
hdv,48.25534999999999,322825.32999999996,NA,NA,NA,NA,TRUE,FALSE,FALSE
gha,44.74229999999999,9128.14,NA,NA,NA,NA,TRUE,FALSE,FALSE
cbc,44.66965,92652.46999999999,1239.5800000000002,NA,NA,NA,TRUE,TRUE,FALSE
fox,44.42541,153071.95,970.7199999999999,NA,NA,NA,TRUE,TRUE,FALSE
